,Week Duration,Best_Score,Predict_R2_Score
0,0.0,-3.8649708904425277,0.8589750622317301
482557,1.0,-20.763925387097007,0.8651556533778788
482564,2.0,-7.822381807499898,0.8694809748833541
482571,3.0,-1.648344188857486,0.7487742678423279
482578,4.0,-0.5418888753067885,0.8509348509078912
482585,5.0,0.1912707336529625,0.8624667320536578
482592,6.0,0.8329962513166665,0.8818418974957866
482599,7.0,0.8316150949141747,0.9324259522814362
482606,8.0,0.8633776198262171,0.9082241641199151
482613,9.0,0.8484211153816636,0.6388652035235339
482620,10.0,0.8402604001542249,0.5039818487978909
482627,11.0,0.4746364608491433,0.34361638458940225
482634,12.0,0.31236505883201654,0.5460505822102644
482636,13.0,0.32165683335777234,0.866503564528954
